Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description,Funding_Type,Funding_num,Country_Grouped,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,OA_Lunar,OA_Suborbital,TT_Balloon,TT_Other,TT_Plane,TT_Rocket,TT_Spaceplane,Funding_Missing,log_Payload (kg),log_Launch Cost ($M),log_Price ($/kg),log_Funding_num
Venture Orbital Systems,3,80,0.0,0,0.91,Small,LEO,Rocket,France,Paris,"Developing a reactive, reliable and cost-efficient nano-launcher",Private (reported),0.91,France,0,0,1,0,1,0,0,0,0,0,1,0,0,4.394449154672439,0.0,0.0,0.6471032420585385
Velontra,2,0,0.0,0,,,LEO,Spaceplane,United States,"Cincinnati, OH",Building a hypersonic space plane that can takeoff from anywhere in any weather,Unknown,13.845,United States,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,2.697663108215723
Northrop Grumman,9,8000,80.0,10000,Public,"Small, Medium",LEO,Rocket,United States,"Falls Church, VA","Designs, manufactures, and operates launch vehicles, propulsion systems, and satellites and related components",Public,13.845,United States,0,1,1,0,1,0,0,0,0,0,1,0,1,8.987321812850125,4.394449154672439,9.210440366976517,2.697663108215723
Deep Blue Aerospace,6,4500,0.0,0,45.60,"Small, Medium",LEO,Rocket,China,Beijing,Committed to reducing the cost of entering space via reusable launch products,Private (reported),45.6,China,0,1,1,0,1,0,0,0,0,0,1,0,0,8.412054873292933,0.0,0.0,3.8416005411316
Exodus Space Corp,3,1200,0.0,0,0.30,Small,LEO,Spaceplane,United States,"Denver, CO",Developing the Horizontal Takeoff Horizontal Landing (HTHL) AstroClipper for the future of commercial space transportation,Private (reported),0.3,United States,0,0,1,0,1,0,0,0,0,0,0,1,0,7.0909098220799835,0.0,0.0,0.26236426446749106
CNIM Air Space,9,2700,0.0,0,Public,"Small, Medium",Suborbital,Balloon,France,Ayguesvives,Balloons that lift anything from a few kilograms to several tons and are able to operate at an altitude as low as a few hundred metres or as high as 40 km,Public,13.845,France,0,1,1,0,0,0,1,1,0,0,0,0,1,7.901377353792616,0.0,0.0,2.697663108215723
Masten Space Systems,6,200,0.0,0,,Small,Suborbital,Rocket,United States,"Mojave, CA",Buildig the Xogdor rocket to test payloads at supersonic speeds and at the edge of space,Unknown,13.845,United States,0,0,1,0,0,0,1,0,0,0,1,0,1,5.303304908059076,0.0,0.0,2.697663108215723
LongShot*,3,0,0.0,0,,Small,LEO,Other,United States,,Developing a non-traditional hypervelocity launch system,Unknown,13.845,United States,0,0,1,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.697663108215723
AvalonSpace,1,0,0.0,0,,,,Rocket,United Kingdom,"Bristol, England",Vertically launching low-cost orbital payloads from the UK,Unknown,13.845,United Kingdom,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
Orbit Boy,3,200,0.0,0,,Small,LEO,"Plane, Rocket",United Kingdom,"London, England",On-demand air launch system utilizing standard transport aircrafts from any airport,Unknown,13.845,United Kingdom,0,0,1,0,1,0,0,0,0,1,1,0,1,5.303304908059076,0.0,0.0,2.697663108215723
R3 Aerospace,2,0,0.0,0,,Small,LEO,Rocket,United States,"Tucson, AZ",Developing exciting new space technologies,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
Black Arrow Space Technologies,2,500,10.0,20000,0.10,Small,LEO,Rocket,United Kingdom,"Swindon, England",Developing a unique seaborne launch system,Private (reported),0.1,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,0,6.2166061010848646,2.3978952727983707,9.90353755128617,0.09531017980432487
Vector,2,200,0.0,0,,Small,LEO,Rocket,United States,"Huntington Beach, CA",Developing suborbital and orbital launch vehicles,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,5.303304908059076,0.0,0.0,2.697663108215723
Arianespace/Avio,9,20000,170.0,8500,Public,"Medium, Heavy",LEO,Rocket,Italy,Colleferro,Developing the Vega & Ariane launch vehicles,Public,13.845,Other,1,1,0,0,1,0,0,0,0,0,1,0,1,9.90353755128617,5.14166355650266,9.04793908261736,2.697663108215723
SpaceHorizon,2,1200,0.0,0,,Small,LEO,Rocket,Canada,"Ottawa, Ontario","Striving to design, build, and launch rockets, in and from Canada",Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,7.0909098220799835,0.0,0.0,2.697663108215723
Pangea Aerospace,4,300,4.54,15133,7.10,Small,LEO,Rocket,Spain,Barcelona,"Enabling Low cost access to space with the Aerospike engined reusable Small satellite launch vehicle ""MESO""",Private (reported),7.1,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,5.707110264748875,1.7119945007591926,9.624699147254466,2.0918640616783932
Hudson Space Systems,3,80,0.76,9500,0.10,Small,Suborbital,Rocket,United States,"Hoboken, NJ",Developing a next generation of reusable launch vehicles for microgravity research,Private (reported),0.1,United States,0,0,1,0,0,0,1,0,0,0,1,0,0,4.394449154672439,0.5653138090500605,9.15915233520675,0.09531017980432487
CosmoCourse,4,434,1.5,0,,Tourism,Suborbital,Rocket,Russia,Moscow,Creating a reusable suborbital space complex for tourist flights into space,Unknown,13.845,Other,0,0,0,1,0,0,1,0,0,0,1,0,1,6.075346031088684,0.9162907318741551,0.0,2.697663108215723
INNOSPACE,5,1000,20.0,20000,28.40,Small,LEO,Rocket,South Korea,Sejong City,Developing hybrid small satellite launch vehicles,Private (reported),28.4,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,6.90875477931522,3.044522437723423,9.90353755128617,3.380994674344636
Tehiru,1,300,0.0,0,,Small,LEO,"Plane, Rocket",United States,"New York, NY","Developing a hybrid, modular, affordable & air-launched rocket system that uses electric landing for reusability",Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,1,1,0,1,5.707110264748875,0.0,0.0,2.697663108215723
Exos Aerospace,6,100,0.0,0,9.09,Small,Suborbital,Rocket,United States,"Caddo Mills, TX","Selling reusable launch vehicles for small, sub-orbital scientific/experimental payloads",Private (reported),9.09,United States,0,0,1,0,0,0,1,0,0,0,1,0,0,4.61512051684126,0.0,0.0,2.3115448343655176
Zero 2 Infinity,6,0,0.0,0,13.83,Tourism,Suborbital,Balloon,Spain,Barcelona,Developing a zero-emission space tourism platform,Private (reported),13.83,Other,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,2.696652156149841
Tachyon Aerospace,2,0,0.0,0,,,LEO,Other,United Kingdom,"London, England",Developing the Trans-Atmospheric Flight Vehicle (TAV 1),Unknown,13.845,United Kingdom,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.697663108215723
VALT Enterprises,2,25,1.7,68000,,Small,LEO,Rocket,United States,"Sanford, ME",Hypersonic Delivery Systems: Suborbital & Orbital Missions,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,3.258096538021482,0.9932517730102834,11.127277689932466,2.697663108215723
T-Minus,7,45,0.0,0,,Small,Suborbital,Rocket,Netherlands,Delft,"Offering commercial suborbital platforms for scientific research, commercial applications, and defense",Unknown,13.845,Other,0,0,1,0,0,0,1,0,0,0,1,0,1,3.828641396489095,0.0,0.0,2.697663108215723
Stoke Space Technologies,7,500,0.0,0,74.10,Small,LEO,Rocket,United States,"Seattle, WA",Developinig the world's first 100% reusable rocket,Private (reported),74.1,United States,0,0,1,0,1,0,0,0,0,0,1,0,0,6.2166061010848646,0.0,0.0,4.318820558770089
S-Motor,2,160,0.0,0,,Small,LEO,Rocket,China,Beijing,Developing a three-stage solid-propellant launch vehicle,Unknown,13.845,China,0,0,1,0,1,0,0,0,0,0,1,0,1,5.081404364984463,0.0,0.0,2.697663108215723
Space Walker,4,100,0.0,0,4.98,Small,Suborbital,Spaceplane,Japan,"Minato, Tokyo",Developing a sub-orbital spaceplane for scientific missions,Private (reported),4.98,Other,0,0,1,0,0,0,1,0,0,0,0,1,0,4.61512051684126,0.0,0.0,1.7884205679625405
WAGNER Star Industries,4,1500,3.0,2000,,Small,LEO,Spaceplane,United States,"St Petersburg, FL","WAGNER is a simple, reliable, low-cost launch systems company",Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,0,1,1,7.313886831633462,1.3862943611198906,7.601402334583733,2.697663108215723
SpinLaunch,6,100,0.5,5000,150.00,Small,LEO,Other,United States,"Long Beach, CA",Small satellite space launch via a kinetic launch system,Private (reported),150.0,United States,0,0,1,0,1,0,0,0,1,0,0,0,0,4.61512051684126,0.4054651081081644,8.517393171418904,5.017279836814924
Thor Launch Systems (by 8 Rivers),3,0,0.0,0,,,LEO,Other,United States,"Durham, NC",Enabling the mass commercialization of space by moving beyond chemical rockets,Unknown,13.845,United States,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.697663108215723
0-G Launch,3,0,0.0,25000,,Small,LEO,"Plane, Rocket",United States,"Washington, D.C.",Developing the Space Jet air-launch platform,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,1,1,0,1,0.0,0.0,10.12667110305036,2.697663108215723
Space Transportation (Lingkong Tianxing),4,1000,0.0,0,18.00,Small,LEO,"Rocket, Spaceplane",China,Beijing,Launcher manufacturer aimed at developing reusable vehicles for small payloads,Private (reported),18.0,China,0,0,1,0,1,0,0,0,0,0,1,1,0,6.90875477931522,0.0,0.0,2.9444389791664403
Space Railway Corporation,0,0,0.0,0,,,LEO,Other,United States,"Fort Worth, TX","Developing a proposed ""railway"" to space that is safer, cheaper, and greener than rockets",Unknown,13.845,United States,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.697663108215723
Hybrid Propulsion,1,250,4.0,16000,,Small,LEO,Rocket,France,Talence,Developing a solution for quick missions to LEO,Unknown,13.845,France,0,0,1,0,1,0,0,0,0,0,1,0,1,5.5254529391317835,1.6094379124341003,9.680406499268875,2.697663108215723
LinkSpace,5,200,4.5,22500,,Small,LEO,Rocket,China,Beijing,Developing reusable launch vehicle technology for orbital payloads in China,Unknown,13.845,China,0,0,1,0,1,0,0,0,0,0,1,0,1,5.303304908059076,1.7047480922384253,10.021315031649332,2.697663108215723
Gloyer-Taylor Labs,3,0,0.0,300,,,LEO,Rocket,United States,"Tullahoma, TN",Developing the Advanced Cryognic Expendable (ACE) launch vehicle,Unknown,13.845,United States,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0.0,5.707110264748875,2.697663108215723
STAR Orbitals,2,150,0.0,0,,Small,LEO,Rocket,India,"Surat, Gujarat",Developing the Phoenix small launch vehicle,Unknown,13.845,India,0,0,1,0,1,0,0,0,0,0,1,0,1,5.017279836814924,0.0,0.0,2.697663108215723
Deywoss One,0,200,0.0,0,,Small,LEO,Spaceplane,United States,"Merepoint, ME","Developing PROTEUS, an innovative hybrid and autonomous launcher for small sats",Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,0,1,1,5.303304908059076,0.0,0.0,2.697663108215723
Agnikul Cosmos,4,100,1.2,12000,14.58,Small,LEO,Rocket,India,"Chennai, Tamil Nadu","Designing, manufacturing, and launching orbital-class launch vehicles",Private (reported),14.58,India,0,0,1,0,1,0,0,0,0,0,1,0,0,4.61512051684126,0.7884573603642702,9.392745258631441,2.7459880404426023
Radian Aerospace*,4,2265,0.0,0,27.50,Medium,LEO,Spaceplane,United States,"Renton, WA",Developing the Radian One spaceplane to carry people and cargo to and from orbit,Private (reported),27.5,United States,0,1,0,0,1,0,0,0,0,0,0,1,0,7.725771441587952,0.0,0.0,3.349904087274605
One Space,6,200,3.2,16000,116,Small,LEO,Rocket,China,Beijing,Building a private 3-stage nanosatellite launch vehicle in China,Private (reported),116.0,China,0,0,1,0,1,0,0,0,0,0,1,0,0,5.303304908059076,1.4350845252893227,9.680406499268875,4.762173934797756
HyImpulse,5,500,7.78,15560,9.70,Small,LEO,Rocket,Germany,Kochen,"Developing an orbital small launcher, powered by a unique, green hybrid propulsion technology",Private (reported),9.7,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,6.2166061010848646,2.172476407647025,9.65252306301951,2.3702437414678603
Space Ops,2,10,0.0,0,,Small,LEO,Rocket,Australia,"Redfern, New South Wales",Developing a reusable two-stage orbital-class launch vehicle,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,2.3978952727983707,0.0,0.0,2.697663108215723
Vellon Space,2,50,0.0,0,,Small,LEO,"Plane, Rocket",India,"Madurai, Tamil Nadu",Developing a series of Launch Vehicles based on high-altitude air launch,Unknown,13.845,India,0,0,1,0,1,0,0,0,0,1,1,0,1,3.9318256327243257,0.0,0.0,2.697663108215723
Bellatrix Aerospace,4,150,2.0,13333,11.00,Small,LEO,Rocket,India,"Bangalore, Karnataka",Orbital launch vehicles (rockets) and electric propulsion systems,Private (reported),11.0,India,0,0,1,0,1,0,0,0,0,0,1,0,0,5.017279836814924,1.0986122886681096,9.498072443178005,2.4849066497880004
The Rocket & Satellite Company,0,0,0.0,0,,,LEO,Rocket,Pakistan,Karachi,Offering low-cost space launch systems,Unknown,13.845,Other,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
ESC Aerospace,2,0,0.0,50,,,LEO,Other,United States,"Orlando, FL",Enabling transportation to LEO,Unknown,13.845,United States,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,3.9318256327243257,2.697663108215723
Fore Dynamics,2,200,0.0,0,,Small,LEO,Rocket,United States,"Placentia, CA","Affordable and reliable small satellite launch system for LEO, SSO, and GEO missions",Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,5.303304908059076,0.0,0.0,2.697663108215723
Reaction Dynamics,3,150,0.0,30000,1.15,Small,LEO,Rocket,Canada,"St. Laurent, Quebec",Making it affordable for companies and universities to launch small satellites into orbit,Private (reported),1.15,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,5.017279836814924,0.0,10.308985993422082,0.7654678421395714
Reaction Engines,5,17000,0.0,860,95.37,Medium,LEO,Spaceplane,United Kingdom,"Abingdon, England",Developing the re-usable Skylon spaceplane powered by SABRE propulsion,Private (reported),95.37,United Kingdom,0,1,0,0,1,0,0,0,0,0,0,1,0,9.741027444837728,0.0,6.7580945044277305,4.568194949863196
Galactic Energy,9,5000,0.0,14400,243.00,"Small, Medium",LEO,Rocket,China,,Developing the Ceres-1 and Pallas-1 launch vehicles,Private (reported),243.0,China,0,1,1,0,1,0,0,0,0,0,1,0,0,8.517393171418904,0.0,9.575052927597383,5.497168225293202
Spaceborne,1,0,0.0,0,,,LEO,Rocket,Uzbekistan,Tashkent,"Building low cost, single stage and highly reusable launch vehicles",Unknown,13.845,Other,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,2.697663108215723
Trans Space Travels,1,0,0.0,0,,,Suborbital,Spaceplane,Germany,Bayreuth,"Developing SOL ASPIRET, a suborbital spaceplane",Unknown,13.845,Other,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,2.697663108215723
Orbex,5,220,0.0,0,39.53,Small,LEO,Rocket,United Kingdom,"London, England","Launch services for small, micro and nano satellites",Private (reported),39.53,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,0,5.3981627015177525,0.0,0.0,3.7020424406402173
Stofiel Aerospace,4,250,5.0,20000,,Small,LEO,"Balloon, Rocket",United States,"St. Louis, MO",Balloon-based small satellite launcher,Unknown,13.845,United States,0,0,1,0,1,0,0,1,0,0,1,0,1,5.5254529391317835,1.791759469228055,9.90353755128617,2.697663108215723
PLD Space,6,300,0.0,0,27.14,Small,LEO,Rocket,Spain,Elche,"A Euro startup developing tech for suborbital & orbital launch services, dedicated to small payloads and nanosatellites",Private (reported),27.14,Other,0,0,1,0,1,0,0,0,0,0,1,0,0,5.707110264748875,0.0,0.0,3.337192051686243
Beyond Earth,3,30,0.9,30000,,Small,LEO,Rocket,United States,"Menlo Park, CA",Providing rapid response small satellite launch vehicles for government and commercial customers,Unknown,13.845,United States,0,0,1,0,1,0,0,0,0,0,1,0,1,3.4339872044851463,0.6418538861723948,10.308985993422082,2.697663108215723
VSAT Aerospace,4,100,3.0,30000,,Small,LEO,Rocket,Brazil,"Santo André, São Paulo",Delivering payloads to low Earth orbit,Unknown,13.845,Other,0,0,1,0,1,0,0,0,0,0,1,0,1,4.61512051684126,1.3862943611198906,10.308985993422082,2.697663108215723
Rocketplane Global,1,3000,0.0,0,,Medium,LEO,Spaceplane,United States,"Green Bay, WI",Spaceplane based satellite launch,Unknown,13.845,United States,0,1,0,0,1,0,0,0,0,0,0,1,1,8.006700845440367,0.0,0.0,2.697663108215723
SpaceTrek,1,240,0.0,0,,Small,LEO,Rocket,China,Beijing,Customized launch services for sub-orbital and orbital payloads,Unknown,13.845,China,0,0,1,0,1,0,0,0,0,0,1,0,1,5.484796933490655,0.0,0.0,2.697663108215723
